dataset,frame,n,pitch_mean,pitch_median,pitch_std,pitch_p5,pitch_p95,yaw_mean,yaw_median,yaw_std,yaw_p5,yaw_p95
xgaze,CCS,428553,-3.7697,-3.2500,29.5512,-53.2500,45.2500,-2.2100,-2.2500,38.1456,-64.7500,60.7500
xgaze,HEAD,428553,1.1266,1.2500,7.5446,-9.7500,13.7500,5.5111,5.7500,3.2053,0.2500,10.7500
xgaze,HEAD_RAW,428553,1.1266,1.2500,7.5446,-9.7500,13.7500,5.5111,5.7500,3.2053,0.2500,10.7500
xgaze,HEAD_WORLD,428553,1.1266,1.2500,7.5446,-9.7500,13.7500,5.5111,5.7500,3.2053,0.2500,10.7500
xgaze,HCS,428553,-35.7326,-36.2500,16.2158,-61.2500,-10.2500,-1.0462,-2.2500,27.4058,-40.7500,41.2500
eve,CCS,19360,-8.0720,-14.7500,16.2613,-24.7500,22.7500,-0.1394,0.2500,9.2302,-16.7500,15.7500
eve,HEAD,19360,-18.7679,-12.7500,16.6743,-51.2500,-0.2500,-0.7350,-0.7500,4.0145,-7.7500,5.2500
eve,HEAD_RAW,19360,-18.7679,-12.7500,16.6743,-51.2500,-0.2500,-0.7350,-0.7500,4.0145,-7.7500,5.2500
eve,HEAD_WORLD,19360,15.6536,15.7500,5.5119,7.2500,24.2500,-1.4441,-1.2500,5.7619,-11.7500,7.2500
eve,HCS,19360,-26.6305,-26.7500,7.0347,-37.7500,-15.2500,0.6387,0.7500,9.1205,-14.7500,16.2500
gazecapture,CCS,300333,-2.4074,-2.2500,7.1103,-14.2500,8.7500,0.9893,1.2500,6.3627,-9.7500,11.2500
gazecapture,HEAD,300333,-40.2881,-42.7500,15.0353,-59.2500,-10.7500,1.1381,1.2500,6.4871,-9.2500,11.2500
gazecapture,HEAD_RAW,300333,-40.2881,-42.7500,15.0353,-59.2500,-10.7500,1.1381,1.2500,6.4871,-9.2500,11.2500
gazecapture,HEAD_WORLD,300333,9.9003,12.2500,14.8871,-19.2500,28.7500,1.4367,1.2500,9.4136,-13.7500,16.7500
gazecapture,HCS,300333,-42.1255,-44.2500,16.4003,-63.7500,-9.7500,-0.2476,-0.2500,12.3599,-20.2500,19.7500
mpiifacegaze,CCS,37667,-10.2678,-9.7500,8.5529,-24.7500,3.2500,1.7984,1.7500,11.2157,-16.2500,19.7500
mpiifacegaze,HEAD,37667,-32.1081,-34.2500,11.8251,-46.7500,-9.2500,1.5574,1.7500,5.6916,-7.7500,10.2500
mpiifacegaze,HEAD_RAW,37667,-32.1081,-34.2500,11.8251,-46.7500,-9.2500,1.5574,1.7500,5.6916,-7.7500,10.2500
mpiifacegaze,HEAD_WORLD,37667,1.9606,4.2500,11.8108,-20.7500,16.2500,1.5341,1.7500,6.6219,-9.2500,11.7500
mpiifacegaze,HCS,37667,-41.5854,-43.2500,14.2496,-60.7500,-14.2500,0.2044,0.7500,15.8522,-25.7500,25.2500
