subject,n_frames,pos3d_gen6_mm,pos3d_true6_mm,hcs_gen6_deg,hcs_true6_deg
train01,102,99.520,330.307,11.480,0.023
train02,100,35.798,42.262,5.766,0.029
train03,67,41.939,39.016,11.713,0.044
train04,103,50.676,29.746,6.270,0.035
train05,78,28.818,14.372,12.095,0.028
train06,102,61.950,26.114,9.027,0.047
train07,93,52.032,52.766,10.847,0.042
train08,107,30.024,31.045,13.408,0.028
train09,99,29.021,34.839,14.419,0.030
train10,97,46.798,44.125,8.029,0.022
train11,85,37.210,69.033,9.885,0.042
train12,97,46.387,41.405,9.953,0.033
train13,103,39.109,38.248,6.875,0.029
train14,109,46.017,38.912,11.742,0.020
train15,99,25.302,29.521,6.358,0.026
train16,92,19.766,25.816,6.308,0.024
train17,80,40.368,25.037,7.894,0.035
train18,102,50.994,33.475,9.109,0.036
train19,90,23.994,19.338,10.122,0.035
train20,93,24.955,30.104,20.526,0.031
train21,92,47.999,23.788,5.598,0.038
train22,94,31.372,30.878,3.458,0.035
train23,87,31.144,50.361,4.549,0.024
train24,98,61.093,40.604,10.823,0.019
train25,97,100.408,43.584,12.463,0.041
train26,98,76.107,38.217,8.764,0.032
train27,97,38.976,54.963,8.801,0.032
train28,87,41.462,28.860,12.489,0.034
train29,99,35.907,42.266,10.593,0.032
train30,97,45.396,52.409,7.291,0.041
train31,102,41.384,31.034,7.399,0.035
train32,91,66.853,38.974,15.147,0.039
train33,98,27.989,24.144,8.742,0.028
train34,100,41.771,32.765,12.707,0.032
train35,98,27.571,12.464,24.446,0.025
train36,104,44.702,36.044,4.982,0.027
train37,97,28.054,38.523,4.538,0.029
train38,98,45.995,41.286,10.092,0.027
train39,66,54.586,34.909,14.289,0.075
val01,101,33.473,46.120,16.665,0.032
val02,103,29.373,42.204,12.489,0.026
val03,99,29.706,19.430,13.134,0.029
val04,91,55.371,36.582,10.573,0.031
val05,101,21.857,13.669,4.875,0.026
AVG,95.3,42.937,42.035,10.153,0.032
