subject,arm,cam_a,cam_b,raw_med_mm,centroid_mm,aligned_med_mm
train03,S,webcam_c,basler,1.796,0.223,1.760
train03,T,webcam_c,basler,1.393,0.155,1.494
train03,S,webcam_l,basler,1.614,0.112,1.888
train03,T,webcam_l,basler,2.172,0.071,2.177
train03,S,webcam_l,webcam_c,1.068,0.303,1.007
train03,T,webcam_l,webcam_c,0.986,0.146,0.782
train03,S,webcam_r,basler,1.711,0.112,1.537
train03,T,webcam_r,basler,1.438,0.105,1.458
train03,S,webcam_r,webcam_c,1.647,0.303,1.721
train03,T,webcam_r,webcam_c,2.282,0.221,2.327
train03,S,webcam_r,webcam_l,1.829,0.129,2.174
train03,T,webcam_r,webcam_l,3.332,0.092,3.187
train02,S,webcam_l,webcam_c,1.597,0.408,1.768
train02,T,webcam_l,webcam_c,1.734,0.343,1.762
train02,S,webcam_r,webcam_c,0.967,0.189,0.848
train02,T,webcam_r,webcam_c,1.030,0.123,1.026
train02,S,webcam_r,webcam_l,1.985,0.583,1.934
train02,T,webcam_r,webcam_l,1.798,0.465,1.734
train12,S,webcam_c,basler,2.405,0.215,2.475
train12,T,webcam_c,basler,1.441,0.149,1.362
train12,S,webcam_l,basler,2.280,0.391,2.492
train12,T,webcam_l,basler,1.496,0.108,1.690
train12,S,webcam_l,webcam_c,1.961,0.483,1.907
train12,T,webcam_l,webcam_c,1.317,0.134,1.242
train12,S,webcam_r,basler,1.788,0.403,1.962
train12,T,webcam_r,basler,1.638,0.119,1.489
train12,S,webcam_r,webcam_c,2.832,0.499,3.419
train12,T,webcam_r,webcam_c,1.829,0.172,0.963
train12,S,webcam_r,webcam_l,2.502,0.146,2.704
train12,T,webcam_r,webcam_l,2.069,0.119,2.360
train04,S,webcam_l,webcam_c,1.162,0.197,1.098
train04,T,webcam_l,webcam_c,0.965,0.079,0.981
train04,S,webcam_r,webcam_c,1.726,0.874,2.059
train04,T,webcam_r,webcam_c,2.218,0.180,2.077
train04,S,webcam_r,webcam_l,2.820,0.794,2.795
train04,T,webcam_r,webcam_l,3.006,0.145,2.913
train09,S,webcam_c,basler,1.290,0.659,1.226
train09,T,webcam_c,basler,2.375,0.630,1.893
train09,S,webcam_l,basler,1.387,0.300,1.322
train09,T,webcam_l,basler,1.784,0.457,1.908
train09,S,webcam_l,webcam_c,2.451,0.811,1.378
train09,T,webcam_l,webcam_c,2.097,0.254,2.330
train09,S,webcam_r,basler,2.156,0.628,2.339
train09,T,webcam_r,basler,2.364,0.170,2.092
train09,S,webcam_r,webcam_c,1.829,0.097,1.887
train09,T,webcam_r,webcam_c,3.138,0.513,3.708
train09,S,webcam_r,webcam_l,2.365,0.788,2.176
train09,T,webcam_r,webcam_l,2.493,0.368,2.348
train01,S,webcam_c,basler,2.538,0.613,2.273
train01,T,webcam_c,basler,1.292,0.255,1.224
train01,S,webcam_l,basler,2.049,0.545,1.917
train01,T,webcam_l,basler,2.205,0.349,2.026
train01,S,webcam_l,webcam_c,1.696,0.082,1.538
train01,T,webcam_l,webcam_c,2.016,0.146,1.710
train01,S,webcam_r,basler,1.947,0.758,2.323
train01,T,webcam_r,basler,1.422,0.152,1.140
train01,S,webcam_r,webcam_c,3.912,0.408,4.161
train01,T,webcam_r,webcam_c,1.414,0.233,1.174
train01,S,webcam_r,webcam_l,3.796,0.460,3.857
