subject,arm,cam_a,cam_b,point,raw_mm,aligned_mm
train03,S,webcam_c,basler,eye35(outer corner),0.597,0.857
train03,S,webcam_c,basler,eye39(inner corner),1.562,1.536
train03,S,webcam_c,basler,eye89(inner corner),2.029,1.983
train03,S,webcam_c,basler,eye93(outer corner),0.413,0.430
train03,S,webcam_c,basler,nose78(base of nose),3.383,2.821
train03,S,webcam_c,basler,nose84(base of nose),2.364,2.850
train03,T,webcam_c,basler,eye35(outer corner),1.615,1.577
train03,T,webcam_c,basler,eye39(inner corner),1.077,1.098
train03,T,webcam_c,basler,eye89(inner corner),1.171,1.411
train03,T,webcam_c,basler,eye93(outer corner),0.954,0.660
train03,T,webcam_c,basler,nose78(base of nose),2.203,2.164
train03,T,webcam_c,basler,nose84(base of nose),2.266,2.227
train03,S,webcam_l,basler,eye35(outer corner),1.584,1.770
train03,S,webcam_l,basler,eye39(inner corner),1.008,0.884
train03,S,webcam_l,basler,eye89(inner corner),2.567,2.500
train03,S,webcam_l,basler,eye93(outer corner),1.119,1.187
train03,S,webcam_l,basler,nose78(base of nose),1.645,2.007
train03,S,webcam_l,basler,nose84(base of nose),2.856,2.448
train03,T,webcam_l,basler,eye35(outer corner),2.313,2.430
train03,T,webcam_l,basler,eye39(inner corner),1.879,1.729
train03,T,webcam_l,basler,eye89(inner corner),2.176,1.925
train03,T,webcam_l,basler,eye93(outer corner),0.571,0.928
train03,T,webcam_l,basler,nose78(base of nose),2.168,2.632
train03,T,webcam_l,basler,nose84(base of nose),3.291,2.876
train03,S,webcam_l,webcam_c,eye35(outer corner),1.153,1.339
train03,S,webcam_l,webcam_c,eye39(inner corner),2.220,2.134
train03,S,webcam_l,webcam_c,eye89(inner corner),0.768,0.698
train03,S,webcam_l,webcam_c,eye93(outer corner),0.982,1.132
train03,S,webcam_l,webcam_c,nose78(base of nose),1.775,0.882
train03,S,webcam_l,webcam_c,nose84(base of nose),0.689,0.423
train03,T,webcam_l,webcam_c,eye35(outer corner),0.825,1.056
train03,T,webcam_l,webcam_c,eye39(inner corner),1.468,1.183
train03,T,webcam_l,webcam_c,eye89(inner corner),1.148,0.685
train03,T,webcam_l,webcam_c,eye93(outer corner),0.569,0.668
train03,T,webcam_l,webcam_c,nose78(base of nose),0.459,0.790
train03,T,webcam_l,webcam_c,nose84(base of nose),1.176,0.775
train03,S,webcam_r,basler,eye35(outer corner),1.709,0.858
train03,S,webcam_r,basler,eye39(inner corner),1.368,1.502
train03,S,webcam_r,basler,eye89(inner corner),1.986,1.571
train03,S,webcam_r,basler,eye93(outer corner),0.943,1.423
train03,S,webcam_r,basler,nose78(base of nose),1.970,1.906
train03,S,webcam_r,basler,nose84(base of nose),1.713,1.705
train03,T,webcam_r,basler,eye35(outer corner),1.365,0.956
train03,T,webcam_r,basler,eye39(inner corner),1.422,1.421
train03,T,webcam_r,basler,eye89(inner corner),1.455,1.747
train03,T,webcam_r,basler,eye93(outer corner),1.553,1.240
train03,T,webcam_r,basler,nose78(base of nose),2.096,1.638
train03,T,webcam_r,basler,nose84(base of nose),1.068,1.496
train03,S,webcam_r,webcam_c,eye35(outer corner),1.946,1.166
train03,S,webcam_r,webcam_c,eye39(inner corner),1.349,1.188
train03,S,webcam_r,webcam_c,eye89(inner corner),3.682,3.213
train03,S,webcam_r,webcam_c,eye93(outer corner),0.721,1.310
train03,S,webcam_r,webcam_c,nose78(base of nose),2.564,2.152
train03,S,webcam_r,webcam_c,nose84(base of nose),1.103,2.132
train03,T,webcam_r,webcam_c,eye35(outer corner),2.640,2.036
train03,T,webcam_r,webcam_c,eye39(inner corner),0.851,1.056
train03,T,webcam_r,webcam_c,eye89(inner corner),2.408,2.997
train03,T,webcam_r,webcam_c,eye93(outer corner),2.155,1.431
train03,T,webcam_r,webcam_c,nose78(base of nose),3.355,2.618
train03,T,webcam_r,webcam_c,nose84(base of nose),2.089,2.766
train03,S,webcam_r,webcam_l,eye35(outer corner),3.096,2.398
train03,S,webcam_r,webcam_l,eye39(inner corner),1.881,1.950
train03,S,webcam_r,webcam_l,eye89(inner corner),4.360,3.820
train03,S,webcam_r,webcam_l,eye93(outer corner),1.442,2.449
train03,S,webcam_r,webcam_l,nose78(base of nose),1.415,1.859
train03,S,webcam_r,webcam_l,nose84(base of nose),1.778,1.807
train03,T,webcam_r,webcam_l,eye35(outer corner),3.444,3.024
train03,T,webcam_r,webcam_l,eye39(inner corner),1.880,2.098
train03,T,webcam_r,webcam_l,eye89(inner corner),3.491,3.589
train03,T,webcam_r,webcam_l,eye93(outer corner),2.065,2.020
train03,T,webcam_r,webcam_l,nose78(base of nose),3.482,3.351
train03,T,webcam_r,webcam_l,nose84(base of nose),3.220,3.491
train02,S,webcam_l,webcam_c,eye35(outer corner),1.598,1.886
train02,S,webcam_l,webcam_c,eye39(inner corner),1.711,1.570
train02,S,webcam_l,webcam_c,eye89(inner corner),1.597,1.650
train02,S,webcam_l,webcam_c,eye93(outer corner),0.938,0.994
train02,S,webcam_l,webcam_c,nose78(base of nose),1.266,2.267
