subject,arm,cam,n_train,n_kept,train_rms_px,test_rms_med_px,iod_mm
train04,T,webcam_l,60,60,0.435,0.581,90.722
train04,Tk,webcam_l,30,30,0.331,0.577,90.936
train04,S,webcam_l,60,30,0.288,0.528,91.080
train04,T,webcam_c,60,60,0.485,0.645,89.975
train04,Tk,webcam_c,30,30,0.345,0.631,89.821
train04,S,webcam_c,60,30,0.287,0.629,89.859
train04,T,webcam_r,60,60,0.559,0.815,89.735
train04,Tk,webcam_r,30,30,0.449,0.796,89.706
train04,S,webcam_r,60,30,0.356,0.798,89.875
train04,F,basler,180,0,nan,4.174,90.450
train04,F,webcam_l,180,0,nan,2.173,90.450
train04,F,webcam_c,180,0,nan,0.917,90.450
train04,F,webcam_r,180,0,nan,2.821,90.450
train04,M,basler,240,120,1.042,2.749,89.717
train04,M,webcam_l,240,120,1.042,1.722,89.717
train04,M,webcam_c,240,120,1.042,1.020,89.717
train04,M,webcam_r,240,120,1.042,2.325,89.717
train04,GEN,basler,0,0,nan,3.714,nan
train04,GEN,webcam_l,0,0,nan,2.487,nan
train04,GEN,webcam_c,0,0,nan,2.862,nan
train04,GEN,webcam_r,0,0,nan,3.401,nan
train02,T,webcam_l,60,60,0.327,0.474,90.272
train02,Tk,webcam_l,30,30,0.258,0.489,90.375
train02,S,webcam_l,60,30,0.248,0.444,90.398
train02,T,webcam_c,60,60,0.310,0.420,89.257
train02,Tk,webcam_c,30,30,0.257,0.420,89.196
train02,S,webcam_c,60,30,0.224,0.417,89.402
train02,T,webcam_r,60,60,0.327,0.437,89.253
train02,Tk,webcam_r,30,30,0.263,0.453,89.281
train02,S,webcam_r,60,30,0.235,0.445,89.270
train02,F,basler,180,0,nan,3.715,89.394
train02,F,webcam_l,180,0,nan,2.528,89.394
train02,F,webcam_c,180,0,nan,0.910,89.394
train02,F,webcam_r,180,0,nan,1.617,89.394
train02,M,basler,240,120,0.637,4.418,89.578
train02,M,webcam_l,240,120,0.637,1.071,89.578
train02,M,webcam_c,240,120,0.637,0.679,89.578
train02,M,webcam_r,240,120,0.637,1.457,89.578
train02,GEN,basler,0,0,nan,4.054,nan
train02,GEN,webcam_l,0,0,nan,3.589,nan
train02,GEN,webcam_c,0,0,nan,4.464,nan
train02,GEN,webcam_r,0,0,nan,4.769,nan
train01,T,basler,60,60,0.477,0.610,89.714
train01,Tk,basler,30,30,0.362,0.523,89.652
train01,S,basler,60,30,0.276,0.516,89.707
train01,T,webcam_l,60,60,0.415,0.553,91.240
train01,Tk,webcam_l,30,30,0.300,0.534,90.911
train01,S,webcam_l,60,30,0.254,0.532,91.097
train01,T,webcam_c,60,60,0.490,0.613,89.113
train01,Tk,webcam_c,30,30,0.355,0.600,89.325
train01,S,webcam_c,60,30,0.314,0.586,89.143
train01,T,webcam_r,60,60,0.508,0.665,88.354
train01,Tk,webcam_r,30,30,0.354,0.602,89.300
train01,S,webcam_r,60,30,0.300,0.564,89.162
train01,S240,basler,213,106,0.295,0.502,89.775
train01,F,basler,240,0,nan,3.126,89.760
train01,F,webcam_l,240,0,nan,1.997,89.760
train01,F,webcam_c,240,0,nan,1.562,89.760
train01,F,webcam_r,240,0,nan,3.031,89.760
train01,M,basler,240,120,1.085,3.317,89.711
train01,M,webcam_l,240,120,1.085,1.706,89.711
train01,M,webcam_c,240,120,1.085,2.002,89.711
train01,M,webcam_r,240,120,1.085,0.902,89.711
train01,GEN,basler,0,0,nan,4.011,nan
train01,GEN,webcam_l,0,0,nan,3.909,nan
train01,GEN,webcam_c,0,0,nan,4.290,nan
train01,GEN,webcam_r,0,0,nan,5.719,nan
train01,S_cross,webcam_l,0,0,nan,3.622,nan
train01,S_cross,webcam_c,0,0,nan,3.394,nan
train01,S_cross,webcam_r,0,0,nan,4.931,nan
train05,T,basler,60,60,0.761,1.010,89.916
train05,Tk,basler,30,30,0.641,0.921,89.986
train05,S,basler,60,30,0.504,0.855,90.048
train05,T,webcam_l,60,60,0.901,1.133,89.875
train05,Tk,webcam_l,30,30,0.710,1.062,89.954
train05,S,webcam_l,60,30,0.585,1.028,90.185
train05,T,webcam_c,60,60,0.976,1.131,90.098
train05,Tk,webcam_c,30,30,0.762,0.999,90.116
train05,S,webcam_c,60,30,0.516,0.906,90.444
train05,T,webcam_r,60,60,0.884,1.126,89.870
train05,Tk,webcam_r,30,30,0.670,1.156,89.938
train05,S,webcam_r,60,30,0.568,1.146,90.135
train05,S240,basler,228,114,0.518,0.842,90.019
train05,F,basler,240,0,nan,3.782,90.258
train05,F,webcam_l,240,0,nan,2.689,90.258
train05,F,webcam_c,240,0,nan,1.304,90.258
train05,F,webcam_r,240,0,nan,3.259,90.258
train05,M,basler,240,120,1.481,2.522,89.881
train05,M,webcam_l,240,120,1.481,2.279,89.881
train05,M,webcam_c,240,120,1.481,1.780,89.881
