subject,n_groups,train_rms_med_px,test_rms_med_px,test_rms_generic_med_px,improvement_x,iod_mean_mm
train02,3,0.24,0.44,4.46,10.1,89.7
train03,4,0.16,0.34,2.94,8.6,89.9
train04,3,0.29,0.63,2.86,4.6,90.3
train05,4,0.54,0.97,3.42,3.5,90.2
train06,4,0.35,0.62,4.61,7.4,89.5
train07,4,0.28,0.65,2.77,4.2,90.1
train08,4,0.28,0.57,3.84,6.8,91.0
train09,4,0.27,0.54,5.78,10.8,89.7
train10,4,0.26,0.52,3.22,6.1,90.0
train11,4,0.23,0.47,3.31,7.1,90.2
train12,4,0.27,0.53,4.17,7.9,89.0
train13,4,0.37,0.80,4.84,6.0,90.1
train14,3,0.30,0.60,2.97,5.0,90.7
train15,4,0.29,0.54,3.72,6.8,90.1
train16,4,0.37,0.73,3.74,5.1,90.0
train17,4,0.52,0.88,3.21,3.6,90.2
train18,4,0.30,0.59,4.75,8.0,89.4
train19,4,0.43,0.89,4.31,4.8,89.7
train20,4,0.36,0.69,4.19,6.0,90.6
train21,4,0.25,0.46,3.29,7.1,89.8
train22,3,0.28,0.53,3.91,7.4,90.1
train23,3,0.27,0.56,4.71,8.5,89.4
train24,4,0.28,0.54,2.95,5.5,90.5
train25,4,0.51,1.02,6.67,6.6,89.8
train26,4,0.41,0.84,4.69,5.6,89.9
train27,4,0.25,0.54,3.70,6.8,89.8
train28,4,0.48,0.94,3.41,3.6,90.1
train29,4,0.41,0.79,4.88,6.1,89.6
train30,4,0.31,0.74,4.07,5.5,89.6
train31,4,0.31,0.64,4.82,7.5,89.1
train32,4,0.41,0.77,4.66,6.0,89.2
train33,4,0.28,0.57,2.71,4.7,90.4
train34,4,0.25,0.51,3.88,7.5,89.9
train35,4,0.31,0.66,4.28,6.4,89.7
train36,4,0.30,0.56,4.23,7.6,90.0
train37,4,0.25,0.46,3.74,8.1,90.0
train38,4,0.35,0.64,3.95,6.1,90.3
train39,4,0.30,0.57,4.06,7.1,89.6
val01,3,0.25,0.47,2.86,6.1,90.6
val02,4,0.27,0.54,4.60,8.5,90.6
val03,3,0.22,0.40,2.53,6.4,90.4
val04,4,0.28,0.58,4.47,7.7,89.1
val05,4,0.49,0.89,4.03,4.5,90.3
