session,n_groups,train_rms_med_px,test_rms_med_px,test_rms_generic_med_px,improvement_x,iod_mean_mm
00010,3,0.15,0.25,1.71,6.8,90.2
00028,2,0.19,0.33,1.93,5.8,89.3
00033,1,0.33,0.77,1.95,2.5,90.6
00034,3,0.22,0.43,1.53,3.5,91.2
00098,2,0.22,0.42,2.3,5.5,89.5
00099,3,0.35,0.76,1.76,2.3,91.6
00102,2,0.53,0.67,1.73,2.6,91.0
00104,1,0.28,0.72,3.83,5.3,88.9
00114,3,0.46,0.9,3.32,3.7,89.5
00117,3,0.15,0.3,2.15,7.2,89.9
00120,3,0.22,0.47,2.81,6.0,89.7
00121,2,0.32,0.72,3.09,4.3,89.9
00123,1,0.35,0.49,2.06,4.2,90.2
00124,3,0.24,0.46,1.45,3.2,90.3
00126,1,0.11,0.22,0.87,4.0,90.8
00128,1,0.15,0.34,1.52,4.5,91.1
00130,3,0.18,0.36,0.32,0.9,89.7
00132,3,0.35,0.58,3.75,6.4,90.2
00133,1,0.26,0.56,0.92,1.7,91.3
00135,2,0.08,0.17,1.05,6.1,90.5
00137,3,0.19,0.31,1.26,4.1,90.6
00138,2,0.33,0.77,2.09,2.7,89.9
00139,3,0.28,0.53,1.86,3.5,90.6
00140,3,0.19,0.34,1.4,4.1,90.8
00141,3,0.22,0.4,2.21,5.6,89.8
00142,3,0.41,0.85,1.5,1.8,90.6
00143,3,0.26,0.43,1.95,4.5,91.0
00145,2,0.22,0.42,2.92,7.0,89.2
00146,3,0.15,0.28,1.13,4.1,91.3
00148,3,0.18,0.3,1.31,4.4,91.7
00149,2,0.24,0.42,2.0,4.7,89.1
00150,3,0.21,0.42,1.75,4.1,90.8
00153,3,0.26,0.47,2.78,5.9,89.1
00154,2,0.16,0.27,1.87,6.9,89.9
00156,3,0.23,0.4,2.37,6.0,91.7
00162,3,0.24,0.52,3.19,6.1,89.5
00164,3,0.24,0.53,1.53,2.9,90.6
00165,2,0.3,0.54,2.61,4.9,89.3
00173,2,0.27,0.53,1.73,3.2,91.3
00179,2,0.25,0.51,2.49,4.9,89.3
00191,3,0.36,0.58,2.86,4.9,89.5
00192,3,0.19,0.33,1.28,3.8,91.3
00194,3,0.18,0.28,2.85,10.1,89.0
00198,3,0.13,0.29,2.04,7.1,89.8
00202,2,0.21,0.41,1.93,4.7,89.8
00207,4,0.14,0.25,1.99,7.9,89.6
00208,1,0.36,1.14,1.7,1.5,89.4
00209,3,0.29,0.52,2.65,5.1,90.5
00210,4,0.37,1.03,2.7,2.6,90.2
00211,3,0.35,0.64,2.38,3.7,91.4
00212,3,0.18,0.38,2.2,5.8,88.8
00213,3,0.33,0.68,3.12,4.6,89.7
00218,3,0.43,0.86,2.58,3.0,89.5
00221,3,0.15,0.24,1.84,7.8,89.9
00222,2,0.59,0.74,1.66,2.2,92.0
00224,3,0.22,0.45,2.37,5.3,90.0
00225,2,0.23,0.55,2.49,4.5,90.6
00226,3,0.21,0.36,1.9,5.3,90.6
00228,2,0.19,0.37,2.04,5.5,89.5
00232,2,0.35,0.77,2.88,3.7,89.9
00236,3,0.27,0.47,2.55,5.4,91.5
00237,1,0.22,0.54,4.38,8.1,92.8
00239,3,0.29,0.63,2.32,3.7,89.6
00240,2,0.21,0.44,1.43,3.3,90.7
00241,1,0.55,1.14,1.1,1.0,93.3
00247,3,0.18,0.42,2.26,5.4,90.6
00249,3,0.22,0.38,1.95,5.1,89.6
00251,1,0.48,0.78,2.6,3.3,92.4
00252,4,0.3,0.55,1.49,2.7,90.8
00267,3,0.34,0.68,1.39,2.0,90.5
00268,3,0.44,0.86,1.56,1.8,90.1
00269,3,0.23,0.47,1.99,4.3,90.0
00273,3,0.23,0.57,2.42,4.2,89.9
00274,3,0.47,0.84,1.05,1.3,91.7
00285,3,0.36,0.68,1.32,1.9,91.1
00288,3,0.29,0.55,1.34,2.4,91.2
00299,2,0.47,0.87,2.38,2.7,92.2
00300,3,0.48,1.09,1.85,1.7,89.3
00304,3,0.73,1.31,1.6,1.2,91.8
00305,2,0.64,0.95,1.89,2.0,91.1
00309,3,0.31,0.71,1.62,2.3,90.7
00310,1,0.25,0.44,1.8,4.1,89.9
00312,3,0.41,0.73,1.18,1.6,91.1
00319,3,0.42,0.71,1.83,2.6,89.9
00322,1,0.68,1.18,2.37,2.0,89.7
00324,3,0.59,1.26,1.64,1.3,90.9
00325,1,1.02,1.41,3.21,2.3,89.6
00326,3,0.5,1.03,1.99,1.9,91.4
00330,3,0.58,1.61,3.2,2.0,89.8
00343,2,0.61,1.02,3.35,3.3,89.8
00351,2,0.45,0.99,2.02,2.1,89.7
00355,2,0.42,0.98,1.68,1.7,90.1
00356,3,0.36,0.65,1.64,2.5,90.4
00357,3,0.64,1.13,1.59,1.4,91.0
00358,4,0.57,1.26,2.25,1.8,90.3
00359,3,0.49,1.06,1.73,1.6,91.1
00363,3,0.28,0.65,1.9,2.9,89.6
00376,2,0.62,1.17,3.1,2.7,89.5
00377,1,0.51,1.63,2.27,1.4,90.4
00382,3,0.27,0.51,1.66,3.3,90.3
00459,1,0.41,0.67,2.57,3.8,89.3
00463,3,0.3,0.66,1.79,2.7,90.3
00469,1,0.57,0.92,1.67,1.8,90.1
00471,2,0.4,0.87,1.72,2.0,90.0
00472,2,0.64,1.26,1.88,1.5,89.9
00477,3,0.2,0.32,1.6,5.0,91.3
00480,1,0.48,0.88,1.83,2.1,90.1
00481,3,0.67,1.45,1.62,1.1,91.1
00487,3,0.52,0.98,2.23,2.3,90.5
00488,3,0.41,0.8,1.39,1.7,91.5
00493,1,0.53,0.94,2.61,2.8,90.1
00494,3,0.47,0.9,1.32,1.5,90.1
00495,2,0.6,1.45,1.75,1.2,90.8
00496,3,0.49,0.9,2.96,3.3,89.0
00499,2,0.63,1.04,3.6,3.5,89.2
00500,4,0.39,0.69,2.55,3.7,90.3
00501,1,0.7,1.19,1.94,1.6,90.2
00503,3,0.45,0.79,1.65,2.1,91.3
00505,1,0.95,1.67,1.87,1.1,90.3
00507,3,0.55,1.31,1.82,1.4,91.3
00509,3,0.45,0.75,1.99,2.7,90.5
00510,3,0.91,1.52,2.27,1.5,89.8
