session,split,n_frames,dot_valid,face_valid,left_eye_valid,right_eye_valid,all4,all4_pct
00002,train,99,99,97,56,56,56,0.5657
00003,train,101,101,97,86,86,86,0.8515
00005,train,18,18,18,17,17,17,0.9444
00006,train,105,105,105,105,105,105,1.0000
00010,test,2004,2004,1973,1926,1926,1926,0.9611
00024,train,97,97,97,96,96,96,0.9897
00028,train,988,988,981,798,798,798,0.8077
00033,train,968,968,961,826,826,826,0.8533
00034,train,712,712,712,708,708,708,0.9944
00087,train,57,57,55,36,36,36,0.6316
00089,train,54,54,54,11,11,11,0.2037
00097,train,371,371,365,329,329,329,0.8868
00098,train,727,727,724,477,477,477,0.6561
00099,train,1461,1461,1422,1026,1026,1026,0.7023
00102,train,699,699,699,579,579,579,0.8283
00103,train,162,162,162,162,162,162,1.0000
00104,train,1483,1483,1475,1374,1374,1374,0.9265
00110,test,740,740,729,677,677,677,0.9149
00114,train,886,886,842,3,3,3,0.0034
00117,train,1410,1410,1401,1328,1328,1328,0.9418
00120,train,1331,1331,1323,1072,1072,1072,0.8054
00121,train,1382,1382,1377,1209,1209,1209,0.8748
00122,train,1282,1282,1260,900,900,900,0.7020
00123,train,1362,1362,1360,1341,1341,1341,0.9846
00124,train,1339,1339,1328,1272,1272,1272,0.9500
00126,test,1264,1264,1258,1240,1240,1240,0.9810
00127,train,557,557,547,287,287,287,0.5153
00128,train,1098,1098,1076,742,742,742,0.6758
00130,train,1328,1328,1324,1192,1192,1192,0.8976
00132,train,726,726,725,580,580,580,0.7989
00133,train,1454,1454,1446,314,314,314,0.2160
00135,val,1741,1741,1735,1608,1608,1608,0.9236
00137,train,1433,1433,1428,1254,1254,1254,0.8751
00138,train,1628,1628,1597,1399,1399,1399,0.8593
00139,train,1448,1448,1446,1381,1381,1381,0.9537
00140,train,574,574,572,550,550,550,0.9582
00141,train,1489,1489,1488,1476,1476,1476,0.9913
00142,train,1402,1402,1402,1376,1376,1376,0.9815
00143,train,708,708,704,699,699,699,0.9873
00144,train,690,690,680,528,528,528,0.7652
00145,train,1296,1296,1294,663,663,663,0.5116
00146,train,677,677,676,676,676,676,0.9985
00148,train,800,800,799,797,797,797,0.9962
00149,train,1439,1439,1420,70,70,70,0.0486
00150,train,1356,1356,1352,1171,1171,1171,0.8636
00153,train,1376,1376,1321,1107,1107,1107,0.8045
00154,train,1349,1349,1327,1126,1126,1126,0.8347
00156,train,1319,1319,1318,1307,1307,1307,0.9909
00162,train,767,767,761,615,615,615,0.8018
00164,train,1384,1384,1384,1226,1226,1226,0.8858
00165,train,670,670,663,418,418,418,0.6239
00173,train,681,681,675,315,315,315,0.4626
00178,test,725,725,724,706,706,706,0.9738
00179,train,1432,1432,1432,1202,1202,1202,0.8394
00190,test,614,614,606,260,260,260,0.4235
00191,train,749,749,742,666,666,666,0.8892
00192,test,1475,1475,1474,1468,1468,1468,0.9953
00194,train,1462,1462,1462,649,649,649,0.4439
00198,train,1354,1354,1354,1353,1353,1353,0.9993
00200,train,401,401,401,387,387,387,0.9651
00202,train,1342,1342,1338,1244,1244,1244,0.9270
00207,train,1226,1226,1225,1215,1215,1215,0.9910
00208,train,1826,1826,1790,297,297,297,0.1627
00209,train,1472,1472,1453,1123,1123,1123,0.7629
00210,train,1273,1273,1263,663,663,663,0.5208
00211,train,1328,1328,1280,628,628,628,0.4729
00212,train,753,753,732,585,585,585,0.7769
00213,val,1347,1347,1345,1252,1252,1252,0.9295
00214,train,709,709,692,320,320,320,0.4513
00218,train,571,571,565,525,525,525,0.9194
00220,test,706,706,705,428,428,428,0.6062
00221,train,1533,1533,1470,1043,1043,1043,0.6804
00222,test,1331,1331,1328,1200,1200,1200,0.9016
00224,train,694,694,690,527,527,527,0.7594
00225,train,1330,1330,1327,820,820,820,0.6165
00226,train,687,687,685,612,612,612,0.8908
00227,train,1366,1366,1363,1210,1210,1210,0.8858
00228,train,1349,1349,1347,995,995,995,0.7376
00229,train,33,33,33,20,20,20,0.6061
00232,train,603,603,599,511,511,511,0.8474
00233,test,908,908,900,149,149,149,0.1641
00234,train,252,252,252,252,252,252,1.0000
