subject,n_groups,train_rms_med_px,test_rms_med_px,test_rms_generic_med_px,improvement_x,iod_mean_mm
p01,1,0.46,0.83,2.96,3.6,89.9
p02,1,0.47,0.85,1.82,2.1,90.5
p03,1,0.60,1.25,2.52,2.0,90.4
p04,1,0.51,0.88,2.90,3.3,90.4
p05,1,0.39,0.70,2.24,3.2,90.2
p06,1,0.47,0.83,2.91,3.5,89.9
p07,1,0.40,0.80,2.83,3.5,89.8
p08,1,0.58,1.13,2.91,2.6,90.0
p09,1,0.42,0.87,2.64,3.0,89.8
p10,1,0.50,1.00,2.84,2.8,90.0
p11,1,0.44,0.85,3.05,3.6,89.7
p12,1,0.48,0.92,2.94,3.2,89.4
p13,1,0.67,1.35,2.72,2.0,89.9
p14,1,0.44,0.78,2.87,3.7,90.6
