subject,n_frames,pos3d_gen6_mm,hcs_gen6_deg,pos3d_true6_mm,hcs_true6_deg,hcs_true6_full_deg
subject0000,120,28.396,9.145,3.493,0.466,0.001
subject0003,120,26.927,3.370,15.419,0.321,0.001
subject0004,120,29.800,7.144,15.405,0.555,0.001
subject0005,120,44.350,7.667,16.151,0.527,0.001
subject0006,120,51.573,4.432,21.638,1.093,0.001
subject0007,120,28.761,7.798,22.295,0.535,0.001
subject0008,120,34.321,7.595,23.107,0.548,0.001
subject0009,120,46.558,7.873,22.810,0.606,0.001
subject0010,120,31.711,10.362,21.860,0.531,0.001
subject0013,120,53.346,6.029,8.129,0.485,0.001
subject0014,120,30.744,11.436,5.437,0.514,0.001
subject0015,120,33.023,7.195,4.576,0.352,0.001
subject0016,120,23.788,5.847,3.922,0.440,0.001
subject0018,120,38.002,5.497,5.668,0.320,0.001
subject0019,120,31.801,6.979,6.994,0.520,0.001
subject0021,120,46.745,9.916,9.188,0.457,0.001
subject0024,120,49.696,10.673,16.336,0.941,0.001
subject0026,120,34.676,7.676,19.007,0.345,0.001
subject0027,120,53.240,12.765,19.568,0.499,0.001
subject0028,120,44.917,4.062,27.526,0.458,0.001
subject0029,120,37.038,7.627,11.463,0.391,0.001
subject0030,120,23.451,6.580,5.025,0.287,0.001
subject0031,120,40.512,4.525,4.463,0.355,0.001
subject0032,120,33.858,7.269,1.845,0.230,0.001
subject0033,120,31.326,4.796,1.005,0.491,0.001
subject0035,120,41.335,5.336,8.149,0.528,0.001
subject0036,120,39.669,4.895,10.019,0.289,0.001
subject0038,120,43.095,11.193,11.054,0.653,0.001
subject0039,120,51.777,4.487,4.051,0.257,0.001
subject0040,120,56.507,6.611,2.248,0.474,0.001
subject0041,120,56.460,6.450,1.776,0.291,0.001
subject0043,120,35.505,8.019,2.695,0.266,0.001
subject0044,120,32.856,5.975,5.121,0.364,0.001
subject0045,120,33.520,8.141,4.803,0.329,0.001
subject0046,120,76.774,6.347,7.826,0.195,0.001
subject0048,120,35.757,6.043,3.276,0.483,0.001
subject0050,120,35.191,13.156,12.983,0.298,0.001
subject0051,120,21.731,7.279,13.478,0.299,0.001
subject0052,120,57.226,11.234,10.901,0.383,0.001
subject0055,120,27.751,7.198,9.414,0.278,0.001
subject0056,120,27.270,8.059,7.448,0.338,0.001
subject0057,120,21.579,8.172,6.344,0.314,0.001
subject0058,120,31.297,5.490,3.359,0.332,0.001
subject0059,120,35.738,9.822,3.114,0.307,0.001
subject0060,120,26.953,6.063,2.353,0.262,0.001
subject0061,120,27.880,5.954,1.520,0.332,0.001
subject0062,120,31.784,12.654,3.036,0.488,0.001
subject0063,120,60.958,7.747,4.617,0.360,0.001
subject0065,120,42.573,8.049,4.985,0.268,0.001
subject0066,120,39.073,3.025,5.852,0.436,0.001
subject0067,120,31.868,10.164,3.930,0.392,0.001
subject0069,120,37.860,10.124,1.077,0.620,0.001
subject0072,120,52.839,10.506,5.417,0.458,0.001
subject0073,120,25.906,6.836,4.312,0.309,0.001
subject0075,120,27.380,7.857,3.074,0.297,0.001
subject0076,120,53.653,5.592,19.740,0.288,0.001
subject0078,120,74.442,8.074,13.945,0.849,0.001
subject0079,120,24.639,10.126,12.837,0.210,0.001
subject0080,120,33.012,6.519,8.867,0.299,0.001
subject0081,120,41.137,6.951,9.827,0.436,0.001
subject0083,120,36.947,7.018,8.560,0.271,0.001
subject0084,120,36.668,10.740,8.420,0.439,0.001
subject0085,120,24.917,4.891,6.752,0.304,0.001
subject0088,120,44.170,6.622,2.572,0.235,0.001
subject0090,120,30.341,7.099,1.039,0.511,0.001
subject0092,120,41.229,5.956,4.835,0.228,0.001
subject0095,120,52.316,7.535,1.435,0.825,0.001
subject0098,120,37.850,6.205,2.946,0.443,0.001
subject0099,120,26.886,7.002,2.508,0.398,0.001
subject0100,120,38.752,5.255,1.160,0.290,0.001
subject0101,120,22.665,9.953,1.075,0.618,0.001
subject0102,120,53.425,9.293,4.535,0.437,0.001
subject0103,120,51.281,7.227,2.950,0.330,0.001
subject0104,120,19.969,4.557,1.688,0.167,0.001
subject0105,120,25.078,8.642,1.677,0.386,0.001
subject0106,120,35.220,6.995,0.807,0.270,0.001
subject0107,120,27.329,5.252,1.222,0.446,0.001
subject0108,120,31.539,5.932,3.479,0.323,0.001
subject0109,120,38.915,6.717,4.979,0.252,0.001
subject0111,120,56.730,13.581,2.240,0.373,0.001
AVG,120.0,38.172,7.511,7.633,0.410,0.001
