subject,arm,cam_a,cam_b,category,med_angle_a,med_angle_b,raw_med_mm,centroid_mm,aligned_med_mm
subject0000,S,cam01,cam00,both_sel,36,36,1.247,0.239,1.262
subject0000,T,cam01,cam00,both_sel,36,36,1.410,0.066,1.376
subject0000,S,cam02,cam00,both_sel,36,36,1.519,0.899,1.264
subject0000,T,cam02,cam00,both_sel,36,36,1.376,0.189,1.436
subject0000,S,cam02,cam01,both_sel,36,36,1.429,1.034,1.304
subject0000,T,cam02,cam01,both_sel,36,36,0.955,0.124,0.926
subject0000,S,cam03,cam00,mixed,45,36,1.472,0.410,1.449
subject0000,T,cam03,cam00,mixed,45,36,1.860,0.222,1.814
subject0000,S,cam03,cam01,mixed,45,36,1.798,0.614,1.172
subject0000,T,cam03,cam01,mixed,45,36,1.560,0.160,1.529
subject0000,S,cam03,cam02,mixed,45,36,1.079,0.546,0.991
subject0000,T,cam03,cam02,mixed,45,36,0.835,0.068,0.793
subject0000,S,cam04,cam00,mixed,52,36,1.143,0.281,0.949
subject0000,T,cam04,cam00,mixed,52,36,1.357,0.264,1.295
subject0000,S,cam04,cam01,mixed,52,36,1.141,0.400,1.140
subject0000,T,cam04,cam01,mixed,52,36,1.411,0.214,1.250
subject0000,S,cam04,cam02,mixed,52,36,1.422,0.703,1.252
subject0000,T,cam04,cam02,mixed,52,36,1.527,0.152,1.572
subject0000,S,cam04,cam03,both_unsel,52,45,1.640,0.301,1.697
subject0000,T,cam04,cam03,both_unsel,52,45,1.089,0.087,1.115
subject0000,S,cam05,cam00,mixed,55,36,1.063,0.237,0.971
subject0000,T,cam05,cam00,mixed,55,36,0.608,0.231,0.617
subject0000,S,cam05,cam01,mixed,55,36,1.241,0.170,1.192
subject0000,T,cam05,cam01,mixed,55,36,1.474,0.183,1.473
subject0000,S,cam05,cam02,mixed,55,36,1.836,1.051,1.789
subject0000,T,cam05,cam02,mixed,55,36,1.621,0.139,1.585
subject0000,S,cam05,cam03,both_unsel,55,45,1.881,0.613,1.800
subject0000,T,cam05,cam03,both_unsel,55,45,1.291,0.080,1.306
subject0000,S,cam05,cam04,both_unsel,55,52,1.184,0.477,1.132
subject0000,T,cam05,cam04,both_unsel,55,52,0.980,0.038,0.831
subject0000,S,cam06,cam00,mixed,48,36,2.051,1.200,1.395
subject0000,T,cam06,cam00,mixed,48,36,1.889,0.127,1.770
subject0000,S,cam06,cam01,mixed,48,36,1.892,1.302,1.408
subject0000,T,cam06,cam01,mixed,48,36,2.793,0.117,2.507
subject0000,S,cam06,cam02,mixed,48,36,2.275,0.768,1.730
subject0000,T,cam06,cam02,mixed,48,36,2.545,0.177,2.564
subject0000,S,cam06,cam03,both_unsel,48,45,2.201,0.933,1.400
subject0000,T,cam06,cam03,both_unsel,48,45,2.342,0.167,2.373
subject0000,S,cam06,cam04,both_unsel,48,52,1.615,0.926,1.581
subject0000,T,cam06,cam04,both_unsel,48,52,2.350,0.168,2.180
subject0000,S,cam06,cam05,both_unsel,48,55,2.086,1.401,1.198
subject0000,T,cam06,cam05,both_unsel,48,55,1.690,0.133,1.614
subject0000,S,cam07,cam00,mixed,41,36,1.960,1.015,1.067
subject0000,T,cam07,cam00,mixed,41,36,2.197,0.125,2.064
subject0000,S,cam07,cam01,mixed,41,36,2.762,1.105,1.904
subject0000,T,cam07,cam01,mixed,41,36,3.019,0.119,2.925
subject0000,S,cam07,cam02,mixed,41,36,2.328,0.664,2.194
subject0000,T,cam07,cam02,mixed,41,36,2.843,0.180,3.016
subject0000,S,cam07,cam03,both_unsel,41,45,2.514,0.776,2.573
subject0000,T,cam07,cam03,both_unsel,41,45,2.564,0.177,2.760
subject0000,S,cam07,cam04,both_unsel,41,52,1.612,0.737,1.420
subject0000,T,cam07,cam04,both_unsel,41,52,2.913,0.179,2.838
