subject,arm,cam_a,cam_b,category,point,raw_mm,aligned_mm
subject0000,S,cam01,cam00,both_sel,eye35(外角),1.374,1.443
subject0000,S,cam01,cam00,both_sel,eye39(内角),1.859,1.848
subject0000,S,cam01,cam00,both_sel,eye89(内角),1.121,1.173
subject0000,S,cam01,cam00,both_sel,eye93(外角),1.533,1.350
subject0000,S,cam01,cam00,both_sel,nose78(鼻底),0.363,0.152
subject0000,S,cam01,cam00,both_sel,nose84(鼻底),0.624,0.350
subject0000,T,cam01,cam00,both_sel,eye35(外角),1.407,1.403
subject0000,T,cam01,cam00,both_sel,eye39(内角),1.412,1.349
subject0000,T,cam01,cam00,both_sel,eye89(内角),0.440,0.397
subject0000,T,cam01,cam00,both_sel,eye93(外角),0.874,0.733
subject0000,T,cam01,cam00,both_sel,nose78(鼻底),1.675,1.786
subject0000,T,cam01,cam00,both_sel,nose84(鼻底),2.204,2.173
subject0000,S,cam02,cam00,both_sel,eye35(外角),0.095,0.543
subject0000,S,cam02,cam00,both_sel,eye39(内角),1.828,1.110
subject0000,S,cam02,cam00,both_sel,eye89(内角),1.373,0.864
subject0000,S,cam02,cam00,both_sel,eye93(外角),2.108,1.459
subject0000,S,cam02,cam00,both_sel,nose78(鼻底),1.606,1.423
subject0000,S,cam02,cam00,both_sel,nose84(鼻底),1.432,1.418
subject0000,T,cam02,cam00,both_sel,eye35(外角),1.058,1.420
subject0000,T,cam02,cam00,both_sel,eye39(内角),1.366,1.109
subject0000,T,cam02,cam00,both_sel,eye89(内角),1.237,1.104
subject0000,T,cam02,cam00,both_sel,eye93(外角),1.386,1.451
subject0000,T,cam02,cam00,both_sel,nose78(鼻底),3.161,3.139
subject0000,T,cam02,cam00,both_sel,nose84(鼻底),3.342,3.284
subject0000,S,cam02,cam01,both_sel,eye35(外角),1.314,0.927
subject0000,S,cam02,cam01,both_sel,eye39(内角),0.749,1.294
subject0000,S,cam02,cam01,both_sel,eye89(内角),0.973,1.696
subject0000,S,cam02,cam01,both_sel,eye93(外角),3.604,2.240
subject0000,S,cam02,cam01,both_sel,nose78(鼻底),1.581,1.314
subject0000,S,cam02,cam01,both_sel,nose84(鼻底),1.543,1.127
subject0000,T,cam02,cam01,both_sel,eye35(外角),0.489,0.314
subject0000,T,cam02,cam01,both_sel,eye39(内角),0.823,0.884
subject0000,T,cam02,cam01,both_sel,eye89(内角),0.884,0.888
subject0000,T,cam02,cam01,both_sel,eye93(外角),1.025,0.963
subject0000,T,cam02,cam01,both_sel,nose78(鼻底),1.928,1.998
subject0000,T,cam02,cam01,both_sel,nose84(鼻底),1.686,1.562
subject0000,S,cam03,cam00,mixed,eye35(外角),0.890,0.655
subject0000,S,cam03,cam00,mixed,eye39(内角),1.060,1.139
subject0000,S,cam03,cam00,mixed,eye89(内角),2.145,1.634
subject0000,S,cam03,cam00,mixed,eye93(外角),1.160,1.534
subject0000,S,cam03,cam00,mixed,nose78(鼻底),1.844,1.929
subject0000,S,cam03,cam00,mixed,nose84(鼻底),1.784,1.363
subject0000,T,cam03,cam00,mixed,eye35(外角),0.579,0.962
subject0000,T,cam03,cam00,mixed,eye39(内角),0.873,0.749
subject0000,T,cam03,cam00,mixed,eye89(内角),2.006,1.829
subject0000,T,cam03,cam00,mixed,eye93(外角),1.713,1.800
subject0000,T,cam03,cam00,mixed,nose78(鼻底),3.192,3.088
subject0000,T,cam03,cam00,mixed,nose84(鼻底),3.237,3.259
subject0000,S,cam03,cam01,mixed,eye35(外角),0.844,1.034
subject0000,S,cam03,cam01,mixed,eye39(内角),1.934,2.085
subject0000,S,cam03,cam01,mixed,eye89(内角),1.106,0.755
subject0000,S,cam03,cam01,mixed,eye93(外角),1.998,1.184
subject0000,S,cam03,cam01,mixed,nose78(鼻底),1.661,1.835
subject0000,S,cam03,cam01,mixed,nose84(鼻底),2.047,1.161
subject0000,T,cam03,cam01,mixed,eye35(外角),1.001,0.662
subject0000,T,cam03,cam01,mixed,eye39(内角),1.218,1.431
subject0000,T,cam03,cam01,mixed,eye89(内角),1.682,1.627
subject0000,T,cam03,cam01,mixed,eye93(外角),1.438,1.423
subject0000,T,cam03,cam01,mixed,nose78(鼻底),2.114,2.142
subject0000,T,cam03,cam01,mixed,nose84(鼻底),1.853,1.785
subject0000,S,cam03,cam02,mixed,eye35(外角),0.865,0.498
subject0000,S,cam03,cam02,mixed,eye39(内角),1.658,1.095
subject0000,S,cam03,cam02,mixed,eye89(内角),1.292,1.810
subject0000,S,cam03,cam02,mixed,eye93(外角),2.012,1.463
subject0000,S,cam03,cam02,mixed,nose78(鼻底),0.826,0.704
subject0000,S,cam03,cam02,mixed,nose84(鼻底),0.715,0.887
subject0000,T,cam03,cam02,mixed,eye35(外角),0.597,0.544
subject0000,T,cam03,cam02,mixed,eye39(内角),1.025,1.052
subject0000,T,cam03,cam02,mixed,eye89(内角),0.809,0.746
subject0000,T,cam03,cam02,mixed,eye93(外角),0.468,0.587
subject0000,T,cam03,cam02,mixed,nose78(鼻底),0.861,0.839
subject0000,T,cam03,cam02,mixed,nose84(鼻底),0.868,0.851
subject0000,S,cam04,cam00,mixed,eye35(外角),1.032,0.821
subject0000,S,cam04,cam00,mixed,eye39(内角),1.769,1.813
subject0000,S,cam04,cam00,mixed,eye89(内角),1.253,1.226
subject0000,S,cam04,cam00,mixed,eye93(外角),1.338,0.796
subject0000,S,cam04,cam00,mixed,nose78(鼻底),0.951,0.920
subject0000,S,cam04,cam00,mixed,nose84(鼻底),0.777,0.978
subject0000,T,cam04,cam00,mixed,eye35(外角),0.398,0.427
subject0000,T,cam04,cam00,mixed,eye39(内角),1.289,1.350
subject0000,T,cam04,cam00,mixed,eye89(内角),1.795,1.763
subject0000,T,cam04,cam00,mixed,eye93(外角),1.424,1.241
subject0000,T,cam04,cam00,mixed,nose78(鼻底),1.720,1.566
subject0000,T,cam04,cam00,mixed,nose84(鼻底),0.994,1.204
subject0000,S,cam04,cam01,mixed,eye35(外角),0.600,0.849
subject0000,S,cam04,cam01,mixed,eye39(内角),1.344,1.346
subject0000,S,cam04,cam01,mixed,eye89(内角),1.626,2.074
subject0000,S,cam04,cam01,mixed,eye93(外角),2.858,2.012
subject0000,S,cam04,cam01,mixed,nose78(鼻底),0.939,0.935
subject0000,S,cam04,cam01,mixed,nose84(鼻底),0.645,0.663
subject0000,T,cam04,cam01,mixed,eye35(外角),1.424,1.233
subject0000,T,cam04,cam01,mixed,eye39(内角),1.821,1.960
subject0000,T,cam04,cam01,mixed,eye89(内角),1.397,1.439
subject0000,T,cam04,cam01,mixed,eye93(外角),0.794,0.670
subject0000,T,cam04,cam01,mixed,nose78(鼻底),0.812,1.077
subject0000,T,cam04,cam01,mixed,nose84(鼻底),1.556,1.268
subject0000,S,cam04,cam02,mixed,eye35(外角),1.009,0.558
subject0000,S,cam04,cam02,mixed,eye39(内角),1.698,1.765
subject0000,S,cam04,cam02,mixed,eye89(内角),1.891,1.302
subject0000,S,cam04,cam02,mixed,eye93(外角),0.907,0.904
subject0000,S,cam04,cam02,mixed,nose78(鼻底),1.468,1.393
subject0000,S,cam04,cam02,mixed,nose84(鼻底),1.377,1.201
subject0000,T,cam04,cam02,mixed,eye35(外角),1.042,1.166
subject0000,T,cam04,cam02,mixed,eye39(内角),2.013,1.979
subject0000,T,cam04,cam02,mixed,eye89(内角),0.838,0.961
subject0000,T,cam04,cam02,mixed,eye93(外角),0.667,0.526
subject0000,T,cam04,cam02,mixed,nose78(鼻底),2.232,2.467
subject0000,T,cam04,cam02,mixed,nose84(鼻底),2.883,2.585
subject0000,S,cam04,cam03,both_unsel,eye35(外角),0.547,0.349
subject0000,S,cam04,cam03,both_unsel,eye39(内角),1.602,1.786
subject0000,S,cam04,cam03,both_unsel,eye89(内角),2.641,2.452
subject0000,S,cam04,cam03,both_unsel,eye93(外角),1.678,1.750
subject0000,S,cam04,cam03,both_unsel,nose78(鼻底),1.501,1.645
subject0000,S,cam04,cam03,both_unsel,nose84(鼻底),1.717,1.389
subject0000,T,cam04,cam03,both_unsel,eye35(外角),0.448,0.638
subject0000,T,cam04,cam03,both_unsel,eye39(内角),1.075,1.043
subject0000,T,cam04,cam03,both_unsel,eye89(内角),1.103,1.187
subject0000,T,cam04,cam03,both_unsel,eye93(外角),0.897,0.826
subject0000,T,cam04,cam03,both_unsel,nose78(鼻底),2.091,2.213
subject0000,T,cam04,cam03,both_unsel,nose84(鼻底),2.688,2.489
subject0000,S,cam05,cam00,mixed,eye35(外角),1.131,0.743
subject0000,S,cam05,cam00,mixed,eye39(内角),1.395,1.515
subject0000,S,cam05,cam00,mixed,eye89(内角),0.989,1.051
subject0000,S,cam05,cam00,mixed,eye93(外角),0.980,0.891
subject0000,S,cam05,cam00,mixed,nose78(鼻底),1.091,0.866
subject0000,S,cam05,cam00,mixed,nose84(鼻底),1.035,1.190
subject0000,T,cam05,cam00,mixed,eye35(外角),0.731,0.753
subject0000,T,cam05,cam00,mixed,eye39(内角),1.536,1.395
subject0000,T,cam05,cam00,mixed,eye89(内角),1.321,1.324
subject0000,T,cam05,cam00,mixed,eye93(外角),0.428,0.481
subject0000,T,cam05,cam00,mixed,nose78(鼻底),0.307,0.194
subject0000,T,cam05,cam00,mixed,nose84(鼻底),0.484,0.448
subject0000,S,cam05,cam01,mixed,eye35(外角),0.355,0.901
subject0000,S,cam05,cam01,mixed,eye39(内角),1.701,1.396
subject0000,S,cam05,cam01,mixed,eye89(内角),1.337,1.435
subject0000,S,cam05,cam01,mixed,eye93(外角),1.145,0.987
subject0000,S,cam05,cam01,mixed,nose78(鼻底),0.948,0.944
subject0000,S,cam05,cam01,mixed,nose84(鼻底),1.659,1.515
subject0000,T,cam05,cam01,mixed,eye35(外角),1.799,1.488
subject0000,T,cam05,cam01,mixed,eye39(内角),1.382,1.458
subject0000,T,cam05,cam01,mixed,eye89(内角),0.961,1.019
subject0000,T,cam05,cam01,mixed,eye93(外角),0.844,0.718
subject0000,T,cam05,cam01,mixed,nose78(鼻底),1.565,1.884
subject0000,T,cam05,cam01,mixed,nose84(鼻底),2.605,2.467
subject0000,S,cam05,cam02,mixed,eye35(外角),1.087,0.497
subject0000,S,cam05,cam02,mixed,eye39(内角),1.779,1.534
subject0000,S,cam05,cam02,mixed,eye89(内角),1.855,1.640
subject0000,S,cam05,cam02,mixed,eye93(外角),2.974,2.124
subject0000,S,cam05,cam02,mixed,nose78(鼻底),2.509,1.939
subject0000,S,cam05,cam02,mixed,nose84(鼻底),1.817,2.386
subject0000,T,cam05,cam02,mixed,eye35(外角),1.384,1.391
subject0000,T,cam05,cam02,mixed,eye39(内角),1.858,1.779
subject0000,T,cam05,cam02,mixed,eye89(内角),0.675,0.724
subject0000,T,cam05,cam02,mixed,eye93(外角),1.021,1.109
subject0000,T,cam05,cam02,mixed,nose78(鼻底),3.184,3.304
subject0000,T,cam05,cam02,mixed,nose84(鼻底),3.801,3.679
subject0000,S,cam05,cam03,both_unsel,eye35(外角),0.700,0.251
subject0000,S,cam05,cam03,both_unsel,eye39(内角),0.975,1.434
subject0000,S,cam05,cam03,both_unsel,eye89(内角),2.417,2.020
subject0000,S,cam05,cam03,both_unsel,eye93(外角),1.937,1.615
subject0000,S,cam05,cam03,both_unsel,nose78(鼻底),2.476,2.222
subject0000,S,cam05,cam03,both_unsel,nose84(鼻底),1.824,1.985
subject0000,T,cam05,cam03,both_unsel,eye35(外角),0.803,0.841
subject0000,T,cam05,cam03,both_unsel,eye39(内角),1.253,1.198
subject0000,T,cam05,cam03,both_unsel,eye89(内角),1.278,1.242
subject0000,T,cam05,cam03,both_unsel,eye93(外角),1.305,1.370
subject0000,T,cam05,cam03,both_unsel,nose78(鼻底),3.195,3.229
subject0000,T,cam05,cam03,both_unsel,nose84(鼻底),3.719,3.676
subject0000,S,cam05,cam04,both_unsel,eye35(外角),0.290,0.098
subject0000,S,cam05,cam04,both_unsel,eye39(内角),0.740,0.360
subject0000,S,cam05,cam04,both_unsel,eye89(内角),0.558,0.968
subject0000,S,cam05,cam04,both_unsel,eye93(外角),2.177,1.569
subject0000,S,cam05,cam04,both_unsel,nose78(鼻底),1.678,1.296
subject0000,S,cam05,cam04,both_unsel,nose84(鼻底),1.627,2.091
subject0000,T,cam05,cam04,both_unsel,eye35(外角),0.425,0.392
subject0000,T,cam05,cam04,both_unsel,eye39(内角),0.800,0.720
subject0000,T,cam05,cam04,both_unsel,eye89(内角),0.523,0.456
subject0000,T,cam05,cam04,both_unsel,eye93(外角),1.161,0.943
subject0000,T,cam05,cam04,both_unsel,nose78(鼻底),1.545,1.598
subject0000,T,cam05,cam04,both_unsel,nose84(鼻底),1.362,1.457
subject0000,S,cam06,cam00,mixed,eye35(外角),2.086,1.528
subject0000,S,cam06,cam00,mixed,eye39(内角),2.099,1.087
subject0000,S,cam06,cam00,mixed,eye89(内角),2.484,1.313
subject0000,S,cam06,cam00,mixed,eye93(外角),0.676,0.486
subject0000,S,cam06,cam00,mixed,nose78(鼻底),2.015,1.477
subject0000,S,cam06,cam00,mixed,nose84(鼻底),1.488,2.147
subject0000,T,cam06,cam00,mixed,eye35(外角),2.047,2.013
subject0000,T,cam06,cam00,mixed,eye39(内角),1.678,1.523
subject0000,T,cam06,cam00,mixed,eye89(内角),1.364,1.349
subject0000,T,cam06,cam00,mixed,eye93(外角),1.731,1.527
subject0000,T,cam06,cam00,mixed,nose78(鼻底),2.672,2.831
subject0000,T,cam06,cam00,mixed,nose84(鼻底),2.373,2.341
subject0000,S,cam06,cam01,mixed,eye35(外角),3.012,1.740
subject0000,S,cam06,cam01,mixed,eye39(内角),0.334,1.150
subject0000,S,cam06,cam01,mixed,eye89(内角),1.603,0.865
