subject,cam_a,cam_b,kabsch_rms_mm
subject0003,cam01,cam00,1.384
subject0003,cam02,cam00,3.146
subject0003,cam02,cam01,2.091
subject0003,cam08,cam00,4.996
subject0003,cam08,cam01,4.936
subject0003,cam08,cam02,5.871
subject0003,cam09,cam00,4.527
subject0003,cam09,cam01,4.179
subject0003,cam09,cam02,4.809
subject0003,cam09,cam08,1.555
subject0003,cam10,cam00,4.954
subject0003,cam10,cam01,4.547
subject0003,cam10,cam02,4.319
subject0003,cam10,cam08,7.499
subject0003,cam10,cam09,6.605
subject0003,cam16,cam00,4.267
subject0003,cam16,cam01,4.481
subject0003,cam16,cam02,5.575
subject0003,cam16,cam08,4.422
subject0003,cam16,cam09,4.449
subject0003,cam16,cam10,5.560
subject0003,cam17,cam00,6.200
subject0003,cam17,cam01,6.072
subject0003,cam17,cam02,6.723
subject0003,cam17,cam08,1.703
subject0003,cam17,cam09,2.279
subject0003,cam17,cam10,8.507
subject0003,cam17,cam16,5.715
subject0009,cam01,cam00,1.896
subject0009,cam02,cam00,4.139
subject0009,cam02,cam01,2.557
subject0009,cam03,cam00,4.285
subject0009,cam03,cam01,2.689
subject0009,cam03,cam02,1.252
subject0009,cam07,cam00,2.921
subject0009,cam07,cam01,2.507
subject0009,cam07,cam02,4.187
subject0009,cam07,cam03,4.191
subject0009,cam08,cam00,3.917
subject0009,cam08,cam01,5.403
subject0009,cam08,cam02,6.933
subject0009,cam08,cam03,7.226
subject0009,cam08,cam07,5.963
subject0009,cam09,cam00,2.772
subject0009,cam09,cam01,3.600
subject0009,cam09,cam02,4.820
subject0009,cam09,cam03,5.198
subject0009,cam09,cam07,4.571
subject0009,cam09,cam08,2.612
subject0009,cam10,cam00,6.727
subject0009,cam10,cam01,5.642
subject0009,cam10,cam02,4.514
subject0009,cam10,cam03,4.905
subject0009,cam10,cam07,6.189
subject0009,cam10,cam08,8.737
subject0009,cam10,cam09,6.630
subject0009,cam16,cam00,3.200
subject0009,cam16,cam01,3.656
subject0009,cam16,cam02,5.145
subject0009,cam16,cam03,5.434
subject0009,cam16,cam07,2.703
subject0009,cam16,cam08,4.334
subject0009,cam16,cam09,3.376
subject0009,cam16,cam10,6.604
subject0009,cam17,cam00,5.175
subject0009,cam17,cam01,6.605
subject0009,cam17,cam02,7.992
subject0009,cam17,cam03,8.302
subject0009,cam17,cam07,7.203
subject0009,cam17,cam08,1.750
subject0009,cam17,cam09,3.692
subject0009,cam17,cam10,9.576
subject0009,cam17,cam16,5.564
subject0004,cam01,cam00,1.112
subject0004,cam02,cam00,3.877
subject0004,cam02,cam01,3.305
subject0004,cam07,cam00,2.032
subject0004,cam07,cam01,2.855
subject0004,cam07,cam02,5.394
subject0004,cam08,cam00,2.851
subject0004,cam08,cam01,3.007
subject0004,cam08,cam02,5.053
subject0004,cam08,cam07,3.026
subject0004,cam09,cam00,3.622
subject0004,cam09,cam01,3.505
subject0004,cam09,cam02,5.359
subject0004,cam09,cam07,4.103
subject0004,cam09,cam08,1.456
subject0004,cam10,cam00,4.220
subject0004,cam10,cam01,3.716
subject0004,cam10,cam02,2.373
subject0004,cam10,cam07,5.798
subject0004,cam10,cam08,4.491
subject0004,cam10,cam09,4.376
subject0004,cam16,cam00,2.680
subject0004,cam16,cam01,3.234
subject0004,cam16,cam02,5.331
subject0004,cam16,cam07,2.313
subject0004,cam16,cam08,2.592
subject0004,cam16,cam09,3.533
subject0004,cam16,cam10,5.303
subject0004,cam17,cam00,3.753
subject0004,cam17,cam01,3.754
subject0004,cam17,cam02,5.582
subject0004,cam17,cam07,3.954
subject0004,cam17,cam08,1.362
subject0004,cam17,cam09,1.223
subject0004,cam17,cam10,4.674
subject0004,cam17,cam16,3.178
subject0010,cam01,cam00,1.775
subject0010,cam02,cam00,6.930
subject0010,cam02,cam01,6.251
subject0010,cam07,cam00,4.794
subject0010,cam07,cam01,5.677
subject0010,cam07,cam02,6.443
subject0010,cam08,cam00,4.372
subject0010,cam08,cam01,4.529
subject0010,cam08,cam02,8.752
subject0010,cam08,cam07,7.117
subject0010,cam09,cam00,4.035
subject0010,cam09,cam01,3.827
subject0010,cam09,cam02,7.510
subject0010,cam09,cam07,6.626
subject0010,cam09,cam08,1.674
subject0010,cam10,cam00,13.109
subject0010,cam10,cam01,13.088
subject0010,cam10,cam02,8.269
subject0010,cam10,cam07,10.107
subject0010,cam10,cam08,14.100
subject0010,cam10,cam09,13.086
subject0010,cam16,cam00,8.406
subject0010,cam16,cam01,8.629
subject0010,cam16,cam02,6.388
subject0010,cam16,cam07,5.469
subject0010,cam16,cam08,8.579
subject0010,cam16,cam09,7.926
subject0010,cam16,cam10,7.390
subject0010,cam17,cam00,4.862
subject0010,cam17,cam01,4.899
subject0010,cam17,cam02,9.147
subject0010,cam17,cam07,7.825
subject0010,cam17,cam08,1.582
subject0010,cam17,cam09,2.115
subject0010,cam17,cam10,14.594
subject0010,cam17,cam16,9.186
subject0008,cam01,cam00,2.452
subject0008,cam02,cam00,4.698
subject0008,cam02,cam01,4.100
subject0008,cam08,cam00,8.963
subject0008,cam08,cam01,9.559
subject0008,cam08,cam02,12.289
subject0008,cam09,cam00,14.804
subject0008,cam09,cam01,15.307
subject0008,cam09,cam02,17.958
subject0008,cam09,cam08,6.349
subject0008,cam10,cam00,7.277
subject0008,cam10,cam01,7.153
subject0008,cam10,cam02,4.439
subject0008,cam10,cam08,13.657
subject0008,cam10,cam09,19.294
subject0008,cam16,cam00,5.238
subject0008,cam16,cam01,5.533
subject0008,cam16,cam02,6.151
subject0008,cam16,cam08,9.487
subject0008,cam16,cam09,15.410
subject0008,cam16,cam10,6.480
subject0008,cam17,cam00,6.005
subject0008,cam17,cam01,6.451
subject0008,cam17,cam02,9.135
subject0008,cam17,cam08,3.858
subject0008,cam17,cam09,9.699
subject0008,cam17,cam10,10.484
subject0008,cam17,cam16,6.559
subject0006,cam01,cam00,1.407
subject0006,cam02,cam00,3.683
subject0006,cam02,cam01,3.627
