subject,arm,cam,n_train,n_kept,train_rms_px,test_rms_med_px,iod_mm
subject0003,T,cam00,60,60,4.671,5.989,90.715
subject0003,Tk,cam00,30,30,3.402,5.846,90.522
subject0003,S,cam00,60,30,2.786,5.711,90.397
subject0003,GEN,cam00,0,0,nan,15.219,nan
subject0003,T,cam01,60,60,4.607,6.164,90.842
subject0003,Tk,cam01,30,30,3.690,6.341,90.877
subject0003,S,cam01,60,30,3.011,6.428,90.916
subject0003,GEN,cam01,0,0,nan,14.276,nan
subject0003,T,cam02,60,60,4.709,6.513,89.957
subject0003,Tk,cam02,30,30,3.298,6.560,89.578
subject0003,S,cam02,60,30,2.960,6.651,90.246
subject0003,GEN,cam02,0,0,nan,19.678,nan
subject0003,T,cam08,60,60,5.751,6.452,90.422
subject0003,Tk,cam08,30,30,4.109,6.492,90.451
subject0003,S,cam08,60,30,3.617,6.443,90.296
subject0003,GEN,cam08,0,0,nan,16.969,nan
subject0003,T,cam09,60,60,5.287,6.522,90.563
subject0003,Tk,cam09,30,30,3.627,6.386,90.571
subject0003,S,cam09,60,30,3.182,6.455,90.580
subject0003,GEN,cam09,0,0,nan,16.676,nan
subject0003,T,cam10,60,60,7.280,9.046,89.567
subject0003,Tk,cam10,30,30,4.975,9.478,89.673
subject0003,S,cam10,60,30,5.494,9.995,90.237
subject0003,GEN,cam10,0,0,nan,26.764,nan
subject0003,T,cam16,60,60,6.804,8.503,90.308
subject0003,Tk,cam16,30,30,5.233,8.797,90.283
subject0003,S,cam16,60,30,4.505,8.737,91.241
subject0003,GEN,cam16,0,0,nan,26.131,nan
subject0003,T,cam17,60,60,6.086,6.007,90.464
subject0003,Tk,cam17,30,30,4.257,5.919,90.452
subject0003,S,cam17,60,30,3.512,5.990,90.046
subject0003,GEN,cam17,0,0,nan,18.154,nan
subject0003,S240,cam09,87,43,3.529,6.767,90.514
subject0003,F,cam00,480,0,nan,18.388,90.487
subject0003,F,cam01,480,0,nan,18.411,90.487
subject0003,F,cam02,480,0,nan,32.494,90.487
subject0003,F,cam08,480,0,nan,12.444,90.487
subject0003,F,cam09,480,0,nan,11.641,90.487
subject0003,F,cam10,480,0,nan,32.164,90.487
subject0003,F,cam16,480,0,nan,28.681,90.487
subject0003,F,cam17,480,0,nan,18.333,90.487
subject0003,M,cam00,480,240,7.175,11.679,90.460
subject0003,M,cam01,480,240,7.175,10.679,90.460
subject0003,M,cam02,480,240,7.175,17.162,90.460
subject0003,M,cam08,480,240,7.175,10.620,90.460
subject0003,M,cam09,480,240,7.175,10.038,90.460
subject0003,M,cam10,480,240,7.175,18.095,90.460
subject0003,M,cam16,480,240,7.175,15.511,90.460
subject0003,M,cam17,480,240,7.175,12.911,90.460
subject0003,S_cross,cam00,0,0,nan,35.219,nan
subject0003,S_cross,cam01,0,0,nan,28.961,nan
subject0003,S_cross,cam02,0,0,nan,42.589,nan
subject0003,S_cross,cam08,0,0,nan,16.136,nan
subject0003,S_cross,cam10,0,0,nan,29.561,nan
subject0003,S_cross,cam16,0,0,nan,36.022,nan
subject0003,S_cross,cam17,0,0,nan,13.205,nan
subject0009,T,cam00,60,60,6.031,6.687,89.853
subject0009,Tk,cam00,30,30,4.271,5.444,89.708
subject0009,S,cam00,60,30,2.838,5.381,89.619
subject0009,GEN,cam00,0,0,nan,26.265,nan
subject0009,T,cam01,60,60,5.257,6.875,89.591
subject0009,Tk,cam01,30,30,3.960,7.111,89.558
subject0009,S,cam01,60,30,2.673,6.641,89.768
subject0009,GEN,cam01,0,0,nan,27.922,nan
subject0009,T,cam02,60,60,4.476,6.184,88.135
subject0009,Tk,cam02,30,30,3.452,5.506,89.339
subject0009,S,cam02,60,30,2.627,5.721,90.161
subject0009,GEN,cam02,0,0,nan,34.415,nan
subject0009,T,cam03,60,60,4.077,5.333,88.045
subject0009,Tk,cam03,30,30,3.276,5.151,89.134
subject0009,S,cam03,60,30,2.724,5.090,89.478
subject0009,GEN,cam03,0,0,nan,32.564,nan
subject0009,T,cam07,60,60,5.671,6.833,89.371
subject0009,Tk,cam07,30,30,4.370,6.428,89.744
subject0009,S,cam07,60,30,3.334,6.180,90.636
subject0009,GEN,cam07,0,0,nan,27.856,nan
subject0009,T,cam08,59,59,6.523,6.663,89.035
subject0009,Tk,cam08,29,29,5.102,6.478,89.174
subject0009,S,cam08,59,29,4.227,6.161,88.997
subject0009,GEN,cam08,0,0,nan,34.211,nan
subject0009,T,cam09,60,60,7.367,7.978,88.647
subject0009,Tk,cam09,30,30,5.397,7.901,88.547
subject0009,S,cam09,60,30,4.341,7.928,88.506
subject0009,GEN,cam09,0,0,nan,37.467,nan
subject0009,T,cam10,59,59,6.605,9.196,88.798
subject0009,Tk,cam10,29,29,3.847,8.995,89.191
subject0009,S,cam10,59,29,3.616,9.025,88.805
subject0009,GEN,cam10,0,0,nan,46.813,nan
subject0009,T,cam16,59,59,5.339,7.549,89.413
subject0009,Tk,cam16,29,29,4.480,7.743,89.582
subject0009,S,cam16,59,29,3.786,7.464,90.781
subject0009,GEN,cam16,0,0,nan,33.336,nan
subject0009,T,cam17,59,59,6.778,7.207,88.906
subject0009,Tk,cam17,29,29,4.787,6.926,88.866
subject0009,S,cam17,59,29,3.988,6.836,88.963
subject0009,GEN,cam17,0,0,nan,34.875,nan
subject0009,S240,cam09,86,43,4.883,6.460,88.492
