# 相机数 10 | train RMS 中位 2.66 px | test RMS 中位 4.93 px | 通用模型 test RMS 中位 25.12 px | 改善 5.1x | IOD 均值 89.4 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.27  4.61  23.15  89.9
cam01  30  2.82  4.85  24.64  90.0
cam02  30  2.74  5.74  31.99  89.3
cam03  30  2.57  4.71  30.14  88.2
cam07  30  2.32  4.72  25.61  88.3
cam08  30  2.80  5.01  22.89  90.0
cam09  30  2.51  5.12  21.76  89.8
cam10  30  4.94  8.47  38.24  88.0
cam16  30  3.29  7.47  31.42  90.3
cam17  30  2.35  4.66  22.51  89.7
