subject,n_cams,train_rms_med_px,test_rms_med_px,test_rms_generic_med_px,improvement_x,iod_mean_mm
subject0000,8,2.66,4.84,25.97,5.4,90.3
subject0003,8,3.16,6.24,16.56,2.7,90.5
subject0004,9,3.76,7.25,28.68,4.0,89.5
subject0005,10,2.57,4.60,23.04,5.0,90.0
subject0006,10,2.66,4.93,25.12,5.1,89.4
subject0007,11,3.35,6.01,26.81,4.5,89.0
subject0008,8,3.33,6.03,27.61,4.6,89.8
subject0009,10,3.45,6.30,32.82,5.2,89.6
subject0010,9,4.31,7.08,25.12,3.5,89.4
subject0013,7,2.79,5.45,30.71,5.6,89.2
subject0014,10,3.15,5.95,22.04,3.7,89.7
subject0015,8,3.37,8.29,30.60,3.7,89.1
subject0016,7,3.28,5.88,21.97,3.7,89.9
subject0018,10,3.30,6.65,23.49,3.5,90.0
subject0019,11,2.99,6.54,26.83,4.1,89.9
subject0021,5,3.31,6.72,27.05,4.0,89.8
subject0024,12,2.25,4.36,25.47,5.8,89.9
subject0026,10,2.68,5.40,23.22,4.3,90.0
subject0027,9,4.86,8.86,25.86,2.9,89.8
subject0028,9,2.52,4.40,25.65,5.8,89.4
subject0029,13,3.01,5.87,23.15,3.9,89.6
subject0030,10,3.69,5.74,24.15,4.2,89.6
subject0031,8,3.05,5.44,20.69,3.8,89.9
subject0032,8,3.78,7.59,19.06,2.5,89.9
subject0033,9,3.12,6.42,28.36,4.4,89.6
subject0035,8,2.86,5.51,24.26,4.4,89.3
subject0036,8,3.23,6.67,19.83,3.0,89.9
subject0038,12,3.29,6.15,31.55,5.1,89.4
subject0039,9,3.34,6.50,19.86,3.1,89.7
subject0040,6,4.80,10.69,35.18,3.3,90.5
subject0041,9,2.95,5.29,17.77,3.4,90.4
subject0043,11,3.00,5.45,21.31,3.9,90.2
subject0044,13,2.72,5.01,32.11,6.4,89.5
subject0045,11,3.84,6.15,29.23,4.8,89.4
subject0046,9,2.56,4.65,17.17,3.7,89.6
subject0048,10,3.31,5.42,32.60,6.0,89.6
subject0050,12,2.97,5.65,21.59,3.8,90.3
subject0051,8,3.37,6.12,15.48,2.5,90.3
subject0052,13,3.54,7.03,35.73,5.1,88.7
subject0055,13,3.71,7.32,26.47,3.6,89.7
subject0056,10,3.28,5.46,26.98,4.9,89.5
subject0057,10,3.07,5.42,22.61,4.2,89.6
subject0058,9,2.63,5.71,18.43,3.2,90.1
subject0059,10,3.66,7.74,29.45,3.8,89.2
subject0060,8,3.03,6.26,15.91,2.5,90.7
subject0061,10,3.64,7.42,38.14,5.1,89.0
subject0062,12,3.15,5.45,22.68,4.2,89.5
subject0063,11,3.90,7.62,25.44,3.3,90.1
subject0065,10,3.31,6.57,21.09,3.2,89.8
subject0066,7,3.03,5.97,22.99,3.9,89.5
subject0067,10,3.13,6.58,25.69,3.9,89.0
subject0069,11,2.60,6.25,36.63,5.9,88.7
subject0072,10,2.47,4.35,22.64,5.2,90.2
subject0073,7,3.15,6.08,15.96,2.6,90.1
subject0075,9,3.16,6.23,25.31,4.1,89.9
subject0076,11,3.28,5.45,21.65,4.0,89.5
subject0078,9,2.76,5.27,25.53,4.8,89.8
subject0079,11,2.88,6.19,24.49,4.0,89.9
subject0080,11,3.34,6.45,31.09,4.8,89.4
subject0081,5,3.33,6.34,26.38,4.2,89.4
subject0083,10,3.07,6.04,21.58,3.6,90.0
subject0084,9,3.48,6.74,22.92,3.4,89.9
subject0085,9,3.33,5.21,26.66,5.1,89.5
subject0088,13,2.55,5.20,22.73,4.4,89.9
subject0090,9,2.69,5.16,22.01,4.3,89.4
subject0092,13,2.91,5.34,22.72,4.3,89.3
subject0095,9,3.05,5.94,23.02,3.9,89.5
subject0098,10,3.08,6.48,24.93,3.8,90.2
subject0099,10,4.42,8.00,26.39,3.3,89.7
subject0100,9,2.96,6.34,30.04,4.7,89.3
subject0101,13,2.22,4.28,25.33,5.9,89.6
subject0102,8,4.06,7.11,21.59,3.0,90.1
subject0103,9,2.01,4.30,18.52,4.3,90.3
subject0104,10,2.93,5.97,22.33,3.7,90.0
subject0105,8,2.54,5.10,29.73,5.8,89.7
subject0106,10,2.82,5.26,23.37,4.4,90.0
subject0107,8,3.47,6.45,27.03,4.2,89.4
subject0108,8,4.02,7.62,35.13,4.6,88.9
subject0109,10,3.76,6.47,27.29,4.2,89.7
subject0111,11,2.29,4.02,29.30,7.3,88.9
