dataset,frame,n,pitch_mean,pitch_median,pitch_std,pitch_p5,pitch_p95,yaw_mean,yaw_median,yaw_std,yaw_p5,yaw_p95
xgaze,CCS,428328,-3.7638,-2.7500,31.9217,-56.7500,48.2500,-1.9488,-2.2500,40.2126,-67.2500,64.7500
xgaze,HEAD,428328,4.6870,5.2500,32.5145,-46.2500,56.7500,-1.3249,-1.2500,30.7479,-64.2500,61.7500
xgaze,HEAD_WORLD,428328,1.1254,1.2500,7.5651,-9.7500,13.7500,5.5122,5.7500,3.1968,0.2500,10.7500
xgaze,HCS,428328,-35.7111,-36.2500,16.1979,-61.2500,-9.7500,-1.1258,-2.2500,27.4251,-40.7500,41.2500
eve,CCS,15208,-6.9147,-15.2500,18.9810,-26.2500,28.7500,-1.3064,-0.7500,18.1134,-31.2500,27.7500
eve,HEAD,15208,-9.9952,-17.7500,19.3310,-29.7500,26.7500,-1.7610,-1.2500,16.0286,-26.7500,23.2500
eve,HEAD_RAW,15208,-11.2161,-17.2500,16.5939,-29.2500,20.7500,-0.4252,-0.2500,4.5630,-8.7500,6.2500
eve,HCS,15208,-26.6970,-26.7500,7.1892,-38.2500,-14.7500,0.4657,0.7500,9.1251,-14.7500,16.2500
gazecapture,CCS,300032,-4.0855,-2.7500,8.8396,-19.2500,7.2500,-0.0242,0.2500,10.3241,-17.7500,17.2500
gazecapture,HEAD,300032,8.2713,10.7500,16.9997,-26.2500,29.7500,0.1631,0.2500,9.1195,-14.2500,14.2500
gazecapture,HEAD_RAW,300032,9.4856,11.7500,14.6476,-19.2500,28.2500,1.3890,1.2500,9.1283,-13.2500,15.7500
gazecapture,HCS,300032,-41.8192,-44.2500,16.0686,-62.7500,-10.2500,-0.2792,-0.2500,12.0909,-19.7500,19.2500
mpiifacegaze,CCS,37667,-11.2197,-10.7500,7.0648,-23.2500,-0.7500,-0.0309,-0.2500,11.4607,-18.2500,18.2500
mpiifacegaze,HEAD,37667,1.1324,3.2500,12.1230,-24.7500,15.7500,-0.2776,0.2500,5.8328,-10.2500,8.2500
mpiifacegaze,HEAD_RAW,37667,1.9606,4.2500,11.8108,-20.7500,16.2500,1.5341,1.7500,6.6219,-9.2500,11.7500
mpiifacegaze,HCS,37667,-41.5854,-43.2500,14.2496,-60.7500,-14.2500,0.2044,0.7500,15.8522,-25.7500,25.2500
